epoch,global_step,lr_abs,step,train/loss_simple_step,train/loss_step,train/loss_vlb_step
0,49.0,4.900995165257882e-09,49,0.7970864772796631,0.7970864772796631,0.013015182688832283
0,99.0,9.900990249889219e-09,99,0.7983744144439697,0.7983744144439697,0.004475930705666542
0,149.0,1.4900985334520556e-08,149,0.7975212931632996,0.7975212931632996,0.004879985935986042
0,199.0,1.9900980419151892e-08,199,0.7969743013381958,0.7969743013381958,0.00435613514855504
0,249.0,2.490097550378323e-08,249,0.7968132495880127,0.7968132495880127,0.004250588361173868
0,299.0,2.9900970588414566e-08,299,0.7988448739051819,0.7988448739051819,0.0062689222395420074
0,349.0,3.4900963896689063e-08,349,0.7968523502349854,0.7968523502349854,0.005795963574200869
0,399.0,3.990096075767724e-08,399,0.7986277341842651,0.7986277341842651,0.004818836227059364
0,449.0,4.490095406595174e-08,449,0.7981085777282715,0.7981085777282715,0.013915278017520905
0,499.0,4.990095092693991e-08,499,0.797420859336853,0.797420859336853,0.005980253219604492
0,549.0,5.490094423521441e-08,549,0.7979717254638672,0.7979717254638672,0.02078932896256447
0,599.0,5.990094109620259e-08,599,0.7970163226127625,0.7970163226127625,0.005388286430388689
0,649.0,6.490093795719076e-08,649,0.7951866984367371,0.7951866984367371,0.005755497608333826
0,699.0,6.990092771275158e-08,699,0.7951812148094177,0.7951812148094177,0.004747736267745495
0,749.0,7.490092457373976e-08,749,0.7953832149505615,0.7953832149505615,0.006521887145936489
0,799.0,7.990092143472793e-08,799,0.7945151925086975,0.7945151925086975,0.0060918498784303665
0,849.0,8.490091829571611e-08,849,0.7964483499526978,0.7964483499526978,0.005042860750108957
0,899.0,8.990090805127693e-08,899,0.7938181161880493,0.7938181161880493,0.004478125832974911
0,949.0,9.49009049122651e-08,949,0.7963244915008545,0.7963244915008545,0.005103318952023983
0,999.0,9.990090177325328e-08,999,0.7942050695419312,0.7942050695419312,0.005069652106612921
0,1049.0,1.0490089863424146e-07,1049,0.7936270236968994,0.7936270236968994,0.0038601530250161886
0,1099.0,3.300996809230128e-09,1099,0.7947564125061035,0.7947564125061035,0.005988876335322857
0,1149.0,8.300991893861465e-09,1149,0.7947580814361572,0.7947580814361572,0.004915973637253046
0,1199.0,1.3300986978492801e-08,1199,0.7967310547828674,0.7967310547828674,0.017225302755832672
0,1249.0,1.8300982063124138e-08,1249,0.7949064373970032,0.7949064373970032,0.004936298355460167
0,1299.0,2.3300977147755475e-08,1299,0.7941697835922241,0.7941697835922241,0.005388333462178707
0,1349.0,2.8300972232386812e-08,1349,0.7954956293106079,0.7954956293106079,0.005127147771418095
