epoch,global_step,lr_abs,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step,val/loss,val/loss_ema,val/loss_simple,val/loss_simple_ema,val/loss_vlb,val/loss_vlb_ema
0,49.0,4.900995165257882e-09,49,,,0.7990256547927856,0.7990256547927856,,0.004078596830368042,,,,,,
0,,,63,,,,,,,0.7978481650352478,0.798119306564331,0.7978481650352478,0.798119306564331,0.00943285133689642,0.0061176978051662445
0,,,63,0.797785222530365,0.797785222530365,,,0.006561072077602148,,,,,,,
1,99.0,9.900990249889219e-09,99,,,0.7982119917869568,0.7982119917869568,,0.004893681034445763,,,,,,
1,,,127,,,,,,,0.7976840138435364,0.7977843284606934,0.7976840138435364,0.7977843284606934,0.006810606922954321,0.005798432510346174
1,,,127,0.7977410554885864,0.7977410554885864,,,0.0072669656947255135,,,,,,,
2,149.0,1.4900985334520556e-08,149,,,0.7969440221786499,0.7969440221786499,,0.005672478582710028,,,,,,
2,,,191,,,,,,,0.7974073886871338,0.7977527976036072,0.7974073886871338,0.7977527976036072,0.00567766884341836,0.008085018023848534
2,,,191,0.7978268265724182,0.7978268265724182,,,0.007805069908499718,,,,,,,
3,199.0,1.9900980419151892e-08,199,,,0.7968928217887878,0.7968928217887878,,0.004967766813933849,,,,,,
3,249.0,2.490097550378323e-08,249,,,0.7987534403800964,0.7987534403800964,,0.00493527902290225,,,,,,
3,,,255,,,,,,,0.7979495525360107,0.7976279258728027,0.7979495525360107,0.7976279258728027,0.009660386480391026,0.004842319991439581
3,,,255,0.797879695892334,0.797879695892334,,,0.006714417599141598,,,,,,,
4,299.0,2.9900970588414566e-08,299,,,0.7983202934265137,0.7983202934265137,,0.004181308206170797,,,,,,
4,,,319,,,,,,,0.7973763346672058,0.7973081469535828,0.7973763346672058,0.7973081469535828,0.005553415510803461,0.005090185906738043
4,,,319,0.7978416085243225,0.7978416085243225,,,0.009604944847524166,,,,,,,
5,349.0,3.4900963896689063e-08,349,,,0.7959151268005371,0.7959151268005371,,0.0056607285514473915,,,,,,
5,,,383,,,,,,,0.797584056854248,0.7977530360221863,0.797584056854248,0.7977530360221863,0.0077041988261044025,0.006352672353386879
5,,,383,0.797562837600708,0.797562837600708,,,0.005427533760666847,,,,,,,
6,399.0,3.990096075767724e-08,399,,,0.7965526580810547,0.7965526580810547,,0.00667022168636322,,,,,,
6,,,447,,,,,,,0.7968671917915344,0.7974929213523865,0.7968671917915344,0.7974929213523865,0.0063019744120538235,0.007291655987501144
6,,,447,0.7972834706306458,0.7972834706306458,,,0.006485805381089449,,,,,,,
7,449.0,4.490095406595174e-08,449,,,0.7961806058883667,0.7961806058883667,,0.005084835924208164,,,,,,
7,499.0,4.990095092693991e-08,499,,,0.7971007823944092,0.7971007823944092,,0.006317393854260445,,,,,,
7,,,511,,,,,,,0.7972087264060974,0.7973513603210449,0.7972087264060974,0.7973513603210449,0.007822166197001934,0.009910446591675282
7,,,511,0.7970377206802368,0.7970377206802368,,,0.0058519430458545685,,,,,,,
8,549.0,5.490094423521441e-08,549,,,0.7972835302352905,0.7972835302352905,,0.00574395339936018,,,,,,
8,,,575,,,,,,,0.7968407273292542,0.7971636652946472,0.7968407273292542,0.7971636652946472,0.005117910914123058,0.00921037420630455
8,,,575,0.7968446612358093,0.7968446612358093,,,0.006942860782146454,,,,,,,
9,599.0,5.990094109620259e-08,599,,,0.7962877154350281,0.7962877154350281,,0.004313168115913868,,,,,,
9,,,639,,,,,,,0.7964668273925781,0.7970187664031982,0.7964668273925781,0.7970187664031982,0.007267509121447802,0.005267889704555273
9,,,639,0.7966932058334351,0.7966932058334351,,,0.006209495943039656,,,,,,,
10,649.0,6.490093795719076e-08,649,,,0.7970153093338013,0.7970153093338013,,0.005846882238984108,,,,,,
10,699.0,6.990092771275158e-08,699,,,0.7974004745483398,0.7974004745483398,,0.0040723527781665325,,,,,,
10,,,703,,,,,,,0.7964164614677429,0.7966956496238708,0.7964164614677429,0.7966956496238708,0.0054468330927193165,0.005958396475762129
10,,,703,0.7963899374008179,0.7963899374008179,,,0.00844613928347826,,,,,,,
11,749.0,7.490092457373976e-08,749,,,0.7973286509513855,0.7973286509513855,,0.007308745291084051,,,,,,
11,,,767,,,,,,,0.7961966395378113,0.7963497638702393,0.7961966395378113,0.7963497638702393,0.009340955875813961,0.01073919702321291
11,,,767,0.7964058518409729,0.7964058518409729,,,0.006189143750816584,,,,,,,
12,799.0,7.990092143472793e-08,799,,,0.7954926490783691,0.7954926490783691,,0.0038883215747773647,,,,,,
12,,,831,,,,,,,0.7954922318458557,0.7960216403007507,0.7954922318458557,0.7960216403007507,0.009472477249801159,0.005365534219890833
12,,,831,0.7959609031677246,0.7959609031677246,,,0.0061422898434102535,,,,,,,
13,849.0,8.490091829571611e-08,849,,,0.7940394282341003,0.7940394282341003,,0.004556556697934866,,,,,,
13,,,895,,,,,,,0.7955806851387024,0.7951218485832214,0.7955806851387024,0.7951218485832214,0.007560426834970713,0.005062146112322807
13,,,895,0.7953273057937622,0.7953273057937622,,,0.008024591021239758,,,,,,,
14,899.0,8.990090805127693e-08,899,,,0.7936610579490662,0.7936610579490662,,0.005189192481338978,,,,,,
