epoch,global_step,lr_abs,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step,val/loss,val/loss_ema,val/loss_simple,val/loss_simple_ema,val/loss_vlb,val/loss_vlb_ema
0,49.0,4.900995165257882e-09,49,,,0.7994468212127686,0.7994468212127686,,0.0043014781549572945,,,,,,
0,99.0,9.900990249889219e-09,99,,,0.7991607189178467,0.7991607189178467,,0.0048093246296048164,,,,,,
0,149.0,1.4900985334520556e-08,149,,,0.7958609461784363,0.7958609461784363,,0.005013098940253258,,,,,,
0,199.0,1.9900980419151892e-08,199,,,0.7969035506248474,0.7969035506248474,,0.005483714863657951,,,,,,
0,249.0,2.490097550378323e-08,249,,,0.7991313338279724,0.7991313338279724,,0.007897552102804184,,,,,,
0,299.0,2.9900970588414566e-08,299,,,0.7993592619895935,0.7993592619895935,,0.004907871596515179,,,,,,
0,349.0,3.4900963896689063e-08,349,,,0.7976469993591309,0.7976469993591309,,0.005069726146757603,,,,,,
0,399.0,3.990096075767724e-08,399,,,0.7968223094940186,0.7968223094940186,,0.005322401411831379,,,,,,
0,449.0,4.490095406595174e-08,449,,,0.7976635098457336,0.7976635098457336,,0.005429164040833712,,,,,,
0,499.0,4.990095092693991e-08,499,,,0.7973283529281616,0.7973283529281616,,0.006870495155453682,,,,,,
0,549.0,5.490094423521441e-08,549,,,0.7976857423782349,0.7976857423782349,,0.006584015674889088,,,,,,
0,599.0,5.990094109620259e-08,599,,,0.798221230506897,0.798221230506897,,0.004869511816650629,,,,,,
0,649.0,6.490093795719076e-08,649,,,0.7957484722137451,0.7957484722137451,,0.005699521861970425,,,,,,
0,699.0,6.990092771275158e-08,699,,,0.7958625555038452,0.7958625555038452,,0.0046896906569600105,,,,,,
0,749.0,7.490092457373976e-08,749,,,0.7954798936843872,0.7954798936843872,,0.004379965364933014,,,,,,
0,799.0,7.990092143472793e-08,799,,,0.7971622943878174,0.7971622943878174,,0.00549958273768425,,,,,,
0,849.0,8.490091829571611e-08,849,,,0.7982475757598877,0.7982475757598877,,0.005369038321077824,,,,,,
0,899.0,8.990090805127693e-08,899,,,0.7965354919433594,0.7965354919433594,,0.008007828146219254,,,,,,
0,949.0,9.49009049122651e-08,949,,,0.7942553758621216,0.7942553758621216,,0.005497361533343792,,,,,,
0,999.0,9.990090177325328e-08,999,,,0.7947184443473816,0.7947184443473816,,0.004834974184632301,,,,,,
0,1049.0,1.0490089863424146e-07,1049,,,0.7956037521362305,0.7956037521362305,,0.004864165559411049,,,,,,
0,1099.0,1.0990088838980228e-07,1099,,,0.7937731742858887,0.7937731742858887,,0.005768683739006519,,,,,,
0,1149.0,1.1490088525079045e-07,1149,,,0.7947508096694946,0.7947508096694946,,0.003914582077413797,,,,,,
0,1199.0,1.1990087500635127e-07,1199,,,0.7954300045967102,0.7954300045967102,,0.006407387088984251,,,,,,
0,1249.0,1.249008789727668e-07,1249,,,0.793025016784668,0.793025016784668,,0.006500260904431343,,,,,,
0,1299.0,1.2990086872832762e-07,1299,,,0.7935093641281128,0.7935093641281128,,0.005733584053814411,,,,,,
0,1349.0,1.3490085848388844e-07,1349,,,0.7908018827438354,0.7908018827438354,,0.00557352090254426,,,,,,
0,1399.0,1.3990086245030398e-07,1399,,,0.7899876236915588,0.7899876236915588,,0.004974751733243465,,,,,,
0,1449.0,1.449008522058648e-07,1449,,,0.7927376627922058,0.7927376627922058,,0.030977843329310417,,,,,,
0,1499.0,1.4990085617228033e-07,1499,,,0.7906476855278015,0.7906476855278015,,0.004856690298765898,,,,,,
0,1549.0,1.5490084592784115e-07,1549,,,0.7908025979995728,0.7908025979995728,,0.004866471514105797,,,,,,
0,1599.0,1.5990083568340197e-07,1599,,,0.7873165607452393,0.7873165607452393,,0.005144136492162943,,,,,,
0,1649.0,1.649008396498175e-07,1649,,,0.7887587547302246,0.7887587547302246,,0.005028523504734039,,,,,,
0,1699.0,1.6990082940537832e-07,1699,,,0.7877412438392639,0.7877412438392639,,0.005051345564424992,,,,,,
0,1749.0,1.7490081916093914e-07,1749,,,0.7900353670120239,0.7900353670120239,,0.005049252416938543,,,,,,
0,1799.0,1.7990082312735467e-07,1799,,,0.7883843779563904,0.7883843779563904,,0.008610367774963379,,,,,,
0,1849.0,1.849008128829155e-07,1849,,,0.787720263004303,0.787720263004303,,0.006137474440038204,,,,,,
0,1899.0,1.8990081684933102e-07,1899,,,0.7841967344284058,0.7841967344284058,,0.005396748892962933,,,,,,
0,1949.0,1.9490080660489184e-07,1949,,,0.7840981483459473,0.7840981483459473,,0.004835969768464565,,,,,,
0,1999.0,1.9990079636045266e-07,1999,,,0.7827038764953613,0.7827038764953613,,0.006775436922907829,,,,,,
0,2049.0,2.049008003268682e-07,2049,,,0.7805618047714233,0.7805618047714233,,0.004451228771358728,,,,,,
0,2099.0,2.09900790082429e-07,2099,,,0.7819280624389648,0.7819280624389648,,0.006559680216014385,,,,,,
0,2149.0,2.1490077983798983e-07,2149,,,0.78172367811203,0.78172367811203,,0.007789096795022488,,,,,,
0,2199.0,2.1990078380440536e-07,2199,,,0.7815890312194824,0.7815890312194824,,0.004051363095641136,,,,,,
0,,,2236,,,,,,,0.7793893218040466,0.7832700610160828,0.7793893218040466,0.7832700610160828,0.0068335640244185925,0.007024381775408983
0,,,2236,0.7922353148460388,0.7922353148460388,,,0.0066919224336743355,,,,,,,
1,2249.0,2.2490077355996618e-07,2249,,,0.7780760526657104,0.7780760526657104,,0.004665003623813391,,,,,,
1,2299.0,2.29900763315527e-07,2299,,,0.7767422199249268,0.7767422199249268,,0.005332947243005037,,,,,,
1,2349.0,2.3490076728194254e-07,2349,,,0.781563937664032,0.781563937664032,,0.005904932506382465,,,,,,
1,2399.0,2.3990077124835807e-07,2399,,,0.7819479703903198,0.7819479703903198,,0.005458411760628223,,,,,,
1,2449.0,2.4490074679306417e-07,2449,,,0.7744846940040588,0.7744846940040588,,0.004110760521143675,,,,,,
1,2499.0,2.499007507594797e-07,2499,,,0.7739313244819641,0.7739313244819641,,0.00472762668505311,,,,,,
1,2549.0,2.5490075472589524e-07,2549,,,0.7770598530769348,0.7770598530769348,,0.009479671716690063,,,,,,
1,2599.0,2.5990073027060134e-07,2599,,,0.7701441049575806,0.7701441049575806,,0.0045502204447984695,,,,,,
1,2649.0,2.649007342370169e-07,2649,,,0.766433835029602,0.766433835029602,,0.005367157980799675,,,,,,
1,2699.0,2.699007382034324e-07,2699,,,0.7719875574111938,0.7719875574111938,,0.007283835671842098,,,,,,
1,2749.0,2.749007137481385e-07,2749,,,0.765974760055542,0.765974760055542,,0.004198397509753704,,,,,,
1,2799.0,2.7990071771455405e-07,2799,,,0.7700280547142029,0.7700280547142029,,0.005147041752934456,,,,,,
1,2849.0,2.849007216809696e-07,2849,,,0.7693744897842407,0.7693744897842407,,0.015520664863288403,,,,,,
1,2899.0,2.899006972256757e-07,2899,,,0.7681429386138916,0.7681429386138916,,0.0061645107343792915,,,,,,
1,2949.0,2.949007011920912e-07,2949,,,0.7630008459091187,0.7630008459091187,,0.013779757544398308,,,,,,
1,2999.0,2.9990070515850675e-07,2999,,,0.7607613801956177,0.7607613801956177,,0.004579214379191399,,,,,,
1,3049.0,3.049007091249223e-07,3049,,,0.7585188150405884,0.7585188150405884,,0.0047455946914851665,,,,,,
1,3099.0,3.099006846696284e-07,3099,,,0.7601303458213806,0.7601303458213806,,0.004744095727801323,,,,,,
1,3149.0,3.149006886360439e-07,3149,,,0.7631192207336426,0.7631192207336426,,0.010439647361636162,,,,,,
1,3199.0,3.1990069260245946e-07,3199,,,0.7523330450057983,0.7523330450057983,,0.004604536108672619,,,,,,
1,3249.0,3.2490066814716556e-07,3249,,,0.7545536160469055,0.7545536160469055,,0.0052613927982747555,,,,,,
1,3299.0,3.299006721135811e-07,3299,,,0.7533581256866455,0.7533581256866455,,0.00434921495616436,,,,,,
1,3349.0,3.3490067607999663e-07,3349,,,0.7524032592773438,0.7524032592773438,,0.0044855945743620396,,,,,,
1,3399.0,3.3990065162470273e-07,3399,,,0.7533302903175354,0.7533302903175354,,0.005388658493757248,,,,,,
1,3449.0,3.4490065559111827e-07,3449,,,0.7472137808799744,0.7472137808799744,,0.00607063714414835,,,,,,
1,3499.0,3.499006595575338e-07,3499,,,0.7449262142181396,0.7449262142181396,,0.003961912356317043,,,,,,
1,3549.0,3.549006351022399e-07,3549,,,0.7483227849006653,0.7483227849006653,,0.004339622333645821,,,,,,
1,3599.0,3.5990063906865544e-07,3599,,,0.7376223802566528,0.7376223802566528,,0.004999551922082901,,,,,,
1,3649.0,3.6490064303507097e-07,3649,,,0.7388134002685547,0.7388134002685547,,0.004569472745060921,,,,,,
1,3699.0,3.699006185797771e-07,3699,,,0.7383761405944824,0.7383761405944824,,0.005039354786276817,,,,,,
1,3749.0,3.749006225461926e-07,3749,,,0.7450867891311646,0.7450867891311646,,0.006500140763819218,,,,,,
1,3799.0,3.7990062651260814e-07,3799,,,0.7285787463188171,0.7285787463188171,,0.004837879911065102,,,,,,
1,3849.0,3.8490060205731425e-07,3849,,,0.7335642576217651,0.7335642576217651,,0.004429167602211237,,,,,,
1,3899.0,3.899006060237298e-07,3899,,,0.7243205308914185,0.7243205308914185,,0.0044820839539170265,,,,,,
1,3949.0,3.949006099901453e-07,3949,,,0.7346324920654297,0.7346324920654297,,0.007186061702668667,,,,,,
1,3999.0,3.9990061395656085e-07,3999,,,0.7246319055557251,0.7246319055557251,,0.0040151504799723625,,,,,,
1,4049.0,4.0490058950126695e-07,4049,,,0.7320311069488525,0.7320311069488525,,0.007822200655937195,,,,,,
1,4099.0,4.099005934676825e-07,4099,,,0.7240549325942993,0.7240549325942993,,0.0044033098965883255,,,,,,
1,4149.0,4.14900597434098e-07,4149,,,0.7188459038734436,0.7188459038734436,,0.004623808432370424,,,,,,
