epoch,global_step,lr_abs,step,train/loss_simple_step,train/loss_step,train/loss_vlb_step
0,49.0,4.900995165257882e-09,49,0.7985174655914307,0.7985174655914307,0.004782208241522312
0,99.0,9.900990249889219e-09,99,0.7974392175674438,0.7974392175674438,0.005449117161333561
0,149.0,1.4900985334520556e-08,149,0.7989980578422546,0.7989980578422546,0.004606348462402821
0,199.0,1.9900980419151892e-08,199,0.7961963415145874,0.7961963415145874,0.005625640973448753
0,249.0,2.490097550378323e-08,249,0.796607255935669,0.796607255935669,0.005311056971549988
0,299.0,2.9900970588414566e-08,299,0.7980028390884399,0.7980028390884399,0.0056203193962574005
0,349.0,3.4900963896689063e-08,349,0.7977262735366821,0.7977262735366821,0.004829061217606068
0,399.0,3.990096075767724e-08,399,0.7964820265769958,0.7964820265769958,0.0045942096039652824
0,449.0,4.490095406595174e-08,449,0.7965863943099976,0.7965863943099976,0.005710459314286709
0,499.0,4.990095092693991e-08,499,0.7971193790435791,0.7971193790435791,0.010419566184282303
0,549.0,5.490094423521441e-08,549,0.7966151237487793,0.7966151237487793,0.005218123085796833
0,599.0,5.990094109620259e-08,599,0.7979783415794373,0.7979783415794373,0.017258789390325546
0,649.0,6.490093795719076e-08,649,0.7971084117889404,0.7971084117889404,0.005195022560656071
0,699.0,6.990092771275158e-08,699,0.7969664931297302,0.7969664931297302,0.005701475776731968
0,749.0,7.490092457373976e-08,749,0.7969971299171448,0.7969971299171448,0.008916683495044708
0,799.0,7.990092143472793e-08,799,0.7963607311248779,0.7963607311248779,0.004668828099966049
0,849.0,8.490091829571611e-08,849,0.795475423336029,0.795475423336029,0.004061875864863396
0,899.0,8.990090805127693e-08,899,0.7956959009170532,0.7956959009170532,0.004546867683529854
0,949.0,9.49009049122651e-08,949,0.7944470643997192,0.7944470643997192,0.0041339402087032795
0,999.0,9.990090177325328e-08,999,0.7943521738052368,0.7943521738052368,0.0069268085062503815
0,1049.0,1.0490089863424146e-07,1049,0.7939064502716064,0.7939064502716064,0.005300183780491352
0,1099.0,1.0990088838980228e-07,1099,0.7943421602249146,0.7943421602249146,0.0058942874893546104
