epoch,global_step,lr_abs,step,train/loss_simple_step,train/loss_step,train/loss_vlb_step
0,49.0,4.900995165257882e-09,49,0.7989315390586853,0.7989315390586853,0.004510135855525732
0,99.0,9.900990249889219e-09,99,0.7990655303001404,0.7990655303001404,0.005335742607712746
0,149.0,1.4900985334520556e-08,149,0.7982145547866821,0.7982145547866821,0.004494566470384598
0,199.0,1.9900980419151892e-08,199,0.7972404360771179,0.7972404360771179,0.004260557238012552
0,249.0,2.490097550378323e-08,249,0.7976220846176147,0.7976220846176147,0.005003809928894043
0,299.0,2.9900970588414566e-08,299,0.7987062335014343,0.7987062335014343,0.005240743979811668
0,349.0,3.4900963896689063e-08,349,0.7976711988449097,0.7976711988449097,0.004562410060316324
0,399.0,3.990096075767724e-08,399,0.7967853546142578,0.7967853546142578,0.004068691283464432
0,449.0,4.490095406595174e-08,449,0.7983335256576538,0.7983335256576538,0.005652131047099829
0,499.0,4.990095092693991e-08,499,0.7961302995681763,0.7961302995681763,0.0049043456092476845
0,549.0,5.490094423521441e-08,549,0.7946722507476807,0.7946722507476807,0.0311594158411026
0,599.0,5.990094109620259e-08,599,0.7996478080749512,0.7996478080749512,0.004766329191625118
0,649.0,6.490093795719076e-08,649,0.7961066961288452,0.7961066961288452,0.005680777132511139
0,699.0,6.990092771275158e-08,699,0.7964879870414734,0.7964879870414734,0.007681140676140785
0,749.0,7.490092457373976e-08,749,0.7952064275741577,0.7952064275741577,0.005607002880424261
0,799.0,7.990092143472793e-08,799,0.7958599925041199,0.7958599925041199,0.018066372722387314
0,849.0,8.490091829571611e-08,849,0.7963854670524597,0.7963854670524597,0.004761043004691601
0,899.0,8.990090805127693e-08,899,0.7953314185142517,0.7953314185142517,0.00937257707118988
0,949.0,9.49009049122651e-08,949,0.7953011989593506,0.7953011989593506,0.006221455987542868
0,999.0,9.990090177325328e-08,999,0.7933310270309448,0.7933310270309448,0.006144753657281399
0,1049.0,1.0490089863424146e-07,1049,0.7937888503074646,0.7937888503074646,0.005284387618303299
0,1099.0,1.0990088838980228e-07,1099,0.7942373156547546,0.7942373156547546,0.005165175534784794
0,1149.0,1.1490088525079045e-07,1149,0.7933372259140015,0.7933372259140015,0.005610649939626455
0,1199.0,1.1990087500635127e-07,1199,0.7931874990463257,0.7931874990463257,0.00859210267663002
0,1249.0,1.249008789727668e-07,1249,0.7941442728042603,0.7941442728042603,0.0078061968088150024
0,1299.0,1.2990086872832762e-07,1299,0.7903658747673035,0.7903658747673035,0.0054022944532334805
0,1349.0,1.3490085848388844e-07,1349,0.7928218841552734,0.7928218841552734,0.004850500263273716
0,1399.0,1.3990086245030398e-07,1399,0.7938569784164429,0.7938569784164429,0.004192102700471878
0,1449.0,1.449008522058648e-07,1449,0.788993239402771,0.788993239402771,0.004545443691313267
0,1499.0,1.4990085617228033e-07,1499,0.7882851362228394,0.7882851362228394,0.004750350024551153
0,1549.0,1.5490084592784115e-07,1549,0.7901550531387329,0.7901550531387329,0.010308041237294674
